id,Silent_KB_Ratio,N_Missense,N_LOF,N_Splice,Missense_KB_Ratio,LOF_KB_Ratio,Missense_Entropy,LOF_TO_Silent_Ratio,Splice_TO_Silent_Ratio,Missense_TO_Silent_Ratio,Missense_Damaging_TO_Missense_Benign_Ratio,LOF_TO_Benign_Ratio,Splice_TO_Benign_Ratio,Missense_TO_Benign_Ratio,Missense_Damaging_TO_Benign_Ratio,Polyphen2,LOF_TO_Total_Ratio,Missense_TO_Total_Ratio,Splice_TO_Total_Ratio,LOF_TO_Missense_Ratio,Silent_fraction,Nonsense_fraction,Missense_fraction,Recurrent_missense_fraction,Frameshift_indel_fraction,Inframe_indel_fraction,Lost_start_and_stop_fraction,Inactivating_mutations_fraction,NonSilent_TO_Silent_Ratio,log_gene_length,CDS_length,CNA_deletion,CNA_amplification,Exon_Cons,MGAentropy,S50_score_replication_timing,One_Minus_S50_score_replication_timing,VEST_score,Gene_expression_Z_score,Gene_expression_Minus_Z_score,Cell_proliferation_rate_CRISPR_KD,Minus_Cell_proliferation_rate_CRISPR_KD,Super_Enhancer_percentage,BioGRID_betweenness,BioGRID_clossness,BioGRID_log_degree,Promoter_hypermethylation_in_cancer,Promoter_hypomethylation_in_cancer,Gene_body_hypermethylation_in_cancer,Gene_body_hypomethylation_in_cancer,Canyon_genebody_hypermethylation,intolerant_pLI,intolerant_pRec,intolerant_pNull,Synonymous_Zscore,Missense_Zscore,pLOF_Zscore,dN_to_dS_ratio,GDI,RVIS_percentile,ncRVIS,ncGERP,Gene_age,FamilyMemberCount,Length_H3K4me3,Broad_H3K4me3_percentage,H3K4me3_height,H3K4me2_width,Broad_H3K4me2_percentage,H3K4me2_height,H3K4me1_width,Broad_H3K4me1_percentage,H3K4me1_height,H3K36me3_width,Broad_H3K36me3_percentage,H3K36me3_height,H3K27ac_width,Broad_H3K27ac_percentage,H3K27ac_height,H3K27me3_width,Broad_H3K27me3_percentage,H3K27me3_height,H3K9me3_width,Broad_H3K9me3_percentage,H3K9me3_height,H3K9ac_width,Broad_H3K9ac_percentage,H3K9ac_height,H3K9me2_width,Broad_H3K9me2_percentage,H3K9me2_height,H3K79me2_width,Broad_H3K79me2_percentage,H3K79me2_height,H4K20me1_width,Broad_H4K20me1_percentage,H4K20me1_height,class
1,18.72659176,6.41,3.91,0,53.05867665,9.36329588,0.052192,0.4786585366,0.03353658537,2.820121951,1.954918033,0.2739965096,0.01919720768,1.614310646,0.832460733,0.7135,0.110252809,0.6495786517,0.007724719101,0.1697297297,0.229,0.092,0.649,0,0.023,0,0,0.122,3.37,15.02,10.646,0.607,0.393,0.6663865754,1.659894992,0.25969179,0.74030821,0.091,-0.04,0.04,0.1,-0.1,0.01,1.35E-07,0.3089973913,1,0.744,-0.744,0.744,-0.744,0,1.25E-06,0.11827,0.88173,-0.23578,-0.80711,-0.67112,0.4799,1291.14567,78.73908941,-0.3410210479,-0.654223429,6,224,2218.5835,0.070126,437,3644.1563,0.088398,27.96172,2267.891,0.057348,17.07987,682.1304,0.001151,7.11201,3556.1651,0.09009,67.64268,2603.7895,0.005848,7.06486,512.8824,0.001284,9.5739,2427.4522,0.07541,46.42937,1502.5,0,4.09766,352.8,0,4.80967,1658,0.006452,2.83911,0
2,63.13645621,8.29,4.52,0,211.8126273,15.6143924,0.226359,0.2473903967,0.001043841336,3.335073069,1.394607843,0.1085661933,0.0004580852038,1.463582226,0.781951443,0.896,0.0538147139,0.7254768392,0.0002270663034,0.07417840376,0.217,0.044,0.727,0,0.009,0,0.002,0.056,3.61,14.998,10.525,0.734,0.266,0.584741997,1.33389342,0.29958747,0.70041253,0.08866666667,0.208,-0.208,-0.01,0.01,0,1.82E-06,0.3157924593,3.7,0,0,0,0,0,1.98E-22,3.01E-05,0.99997,0.1933,-0.8873,-1.8539,0.412,1030.58739,77.91342298,0.0732110526,-2.203375827,6,34,600.7872,0.002805,5.40895,570.3,0.005525,3.96096,893.4694,0.002389,8.89049,887.5217,0.008055,10.28315,890.7692,0.003861,9.39698,678.525,0.007018,5.62461,1104.687,0.037227,14.62391,413.0833,0,4.22007,718.9333,0.030769,4.13172,0,0,0,409.5,0.006452,3.43929,0
3,43.42273308,6.61,3.17,0,62.5798212,5.747126437,0.110091,0.1370056497,0.001412429379,1.490112994,1.111979167,0.08874656908,0.0009149130833,0.9652333028,0.3906678866,0.421,0.05203862661,0.5659871245,0.0005364806867,0.09194312796,0.389,0.04,0.56,0,0.011,0,0,0.051,1.57,12.192,10.613,0.649,0.351,0.5368450277,1.684647893,1,0,0.05688888889,0.028,-0.028,0.12,-0.12,0,0,0,0,0,0,-0.334,0.334,0,0,0,0,-2.4953,-1.0063,0,0.2243,1876.7913,89.56711489,7.668335585,-0.818970613,5,1,726.2,0.001403,5.36102,2186,0.022099,14.14622,2821.8986,0.038232,13.45776,1159.4667,0.002301,5.89242,2310.037,0.011583,20.57219,784.94,0.002339,5.14552,786.8,0,4.5336,1520.9231,0.009836,7.26659,0,0,0,0,0,0,1751.4375,0.025806,5.38291,0
4,29.82954545,7.45,3.91,2,82.85984848,7.102272727,0.122927,0.2386018237,0.0623100304,2.773556231,1.469551282,0.1223694466,0.0319563523,1.422447389,0.714731099,0.698,0.0584947839,0.6799552906,0.0152757079,0.08602739726,0.245,0.039,0.681,0,0.019,0,0,0.074,3.08,14.189,11.044,0.473,0.527,0.6104989098,1.327311191,0.39916484,0.60083516,0.009777777778,-0.09,0.09,-0.22,0.22,0,0.0004181763708,0.3674910883,6.954,-0.349,0.349,-0.35,0.35,0,3.00E-17,0.11992,0.88008,0.6884,-0.16247,1.172,0.3914,2829.1436,27.06416608,1.089074377,-0.149871546,0,0,1963.0565,0.215989,696,2514.1889,0.160221,45.22388,2113.3204,0.11589,36.79763,8177.5087,0.413119,29.87712,2922.707,0.238095,81.90961,1150.3667,0.009357,24.8318,1195.4595,0.007702,5.93439,2233.2384,0.127869,60.81209,0,0,0,2171.0833,0.145695,17.90942,1726.1923,0.045161,4.92263,0
5,47.35883424,7.69,2.81,0,125.6830601,4.250151791,0.125189,0.0952970297,0.001237623762,2.65470297,1.623348018,0.06096595408,0.0007917656374,1.698337292,0.5835312747,0.762,0.0251305483,0.7000652742,0.0003263707572,0.0358974359,0.264,0.017,0.702,0,0.007,0.007,0.003,0.027,2.78,12.829,10.686,0.406,0.594,0.6424858769,1.197029153,0.9703052,0.0296948,0.03766666667,0.923,-0.923,-0.06,0.06,0.051,0,0,0,0,0,-0.331,0.331,0,4.51E-11,0.56,0.44,-0.15477,1.1687,1.3397,0.1714,49.57694,7.997169144,-0.7284542965,0.459953967,0,20,181,0,4.14048,135,0,3.60106,829.5,0.001195,9.9074,2493.4,0.002301,6.50196,603.8462,0.001287,9.07556,802.3333,0.00117,5.1647,197,0,3.87095,397.5,0,4.17694,224,0,2.50145,135,0,3.25445,1103.4444,0.006452,5.48252,0
6,21.58273381,5.49,0,1.58,107.9136691,2.398081535,0.137472,0.1440677966,0.2627118644,4.449152542,1.273195876,0.05431309904,0.09904153355,1.677316294,0.7891373802,0.566,0.02348066298,0.7251381215,0.04281767956,0.03238095238,0.148,0.016,0.738,0,0,0,0.049,0.115,5.78,11.995,8.704,0.401,0.599,0.5635750171,1.895674558,1,0,0.155,0.401,-0.401,-0.03,0.03,0,6.03E-05,0.3524012492,5.358,-0.3435,0.3435,0,0,0,0.0001187,0.39814,0.60174,0.39871,-0.36707,0.11116,0.1443,4.61004,42.87567823,0.0194394681,-0.094742632,5,0,914.6667,0.002805,4.11449,0,0,0,628.6585,0,5.81628,966.3333,0,4.30504,700,0,5.52594,1472.7115,0.026901,9.03002,433,0,6.05965,319.1667,0,3.05785,234,0,3.82396,0,0,0,1033.4286,0.012903,3.93899,0
7,25.75107296,8.46,7.45,3.17,101.0014306,50.07153076,0.160035,1.893318966,0.09806034483,3.884698276,2.044384058,0.8642400394,0.0447614363,1.773241515,1.110181997,0.9205,0.2718131188,0.5577042079,0.0140779703,0.4873786408,0.142,0.153,0.556,0,0.123,0.013,0,0.29,6.06,15.701,11.771,0.681,0.319,0.7121335278,1.029291563,0.14810504,0.85189496,0.08914285714,-0.09,0.09,0.12,-0.12,0.04,8.17E-05,0.3627813016,6,0,0,0,0,0,1,1.06E-07,8.07E-20,0.58519,2.3217,6.5116,0.163,754.82235,7.832035858,0.2266828348,-0.084051531,0,0,2003.7783,0.070126,608,2783.0123,0.226519,44.82063,2776.9975,0.198327,24.27249,8535.2904,0.438435,19.06566,2016.0414,0.088803,77.00433,466.2778,0.00117,8.35914,368.6311,0.003851,7.4935,2235.8944,0.095082,61.27803,351.5,0,4.61817,8307.1081,0.450331,20.19918,3870.9444,0.206452,8.35967,2
8,73.10893956,10.43,6.86,1.58,499.8190373,41.98335143,0.663067,0.5698242188,0.01513671875,6.779785156,7.809027778,0.4006179197,0.01064194988,4.76656368,2.316168898,0.999,0.06551027282,0.7794431346,0.001740204334,0.08404753331,0.114,0.049,0.78,0,0.016,0.038,0.001,0.068,7.76,17.509,11.432,0.501,0.499,0.7262061834,1.046607162,0.12428,0.87572,0.39075,0.043,-0.043,0,0,0.02,0.002200476799,0.4081976829,8.535,-0.308,0.308,0.566,-0.566,0,2.02E-05,0.90524,0.094738,-0.21364,0.40479,1.5749,0.1288,1670.25439,17.30950696,-3.049698036,1.430839152,0,0,4200.3422,0.622721,226,4754.5652,0.270718,21.50115,2822.8185,0.158901,13.9584,1715.2117,0.044879,11.51033,2918.6113,0.15444,94.40736,3321.2248,0.190643,16.04516,1776.0891,0.077022,14.77912,3279.6696,0.209836,20.61932,227.2667,0,4.03781,6193.9333,0.125828,10.50037,777.8205,0.019355,4.62701,1
9,34.73945409,7.41,3,2,140.6120761,6.617038875,0.159641,0.1941964286,0.09151785714,3.962053571,3.290178571,0.1292719168,0.06092124814,2.637444279,1.095096582,0.989,0.03695836873,0.7540356839,0.01741716228,0.04901408451,0.188,0.031,0.759,0,0.004,0,0,0.054,4.33,17.355,10.24,0.696,0.304,0.7000846359,0.9746104641,0.12138,0.87862,0.1112222222,0.01,-0.01,0.07,-0.07,0,3.39E-05,0.3504564054,4.087,0.697,-0.697,-0.347,0.347,0,1.44E-07,0.83924,0.16076,-1.5054,0.30412,1.5185,0.1554,471.73473,40.44585987,0.0602823819,0.337057688,0,2,156,0,4.23865,0,0,0,246.5,0,2.34185,268.875,0,4.38162,100,0,2.72758,0,0,0,208,0,3.28057,130,0,2.92129,370,0,2.9287,0,0,0,0,0,0,0
10,38.46153846,6.66,3.32,1,143.8746439,14.24501425,0.159664,0.3590604027,0.07046979866,3.640939597,3.541237113,0.2170385396,0.04259634888,2.200811359,1.393509128,0.9895,0.07067371202,0.7166446499,0.01387054161,0.09861751152,0.193,0.071,0.721,0,0,0,0,0.086,4.19,17.15,9.455,0.461,0.539,0.7571946695,0.6423166738,0.11948,0.88052,0.09344444444,0.076,-0.076,0.02,-0.02,0,0.0001052358003,0.3447414594,5.209,0.784,-0.784,-0.358,0.358,0,1.13E-07,0.34847,0.65153,0.92851,1.1975,0.61029,0.01007,13.24339,41.24793583,-1.3739659,0.909346039,0,2,479.1805,0.002805,19,1695.5682,0.066298,8.74112,2220.8482,0.099164,12.49519,959.9375,0.017261,8.10638,1805.6359,0.055341,22.56132,1124.3107,0.015205,7.29059,631.6624,0.012837,7.47645,413.2157,0,12.94136,828.3333,0.030769,4.65224,2013.75,0.02649,4.86039,424.1143,0.006452,5.54181,0
